girone,partita,squadra 1,squadra 2,goal squadra 1,goal squadra 2,match 1 squadra 1,match 1 squadra 2,match 2 squadra 1,match 2 squadra 2,penalità squadra 1,penalità squadra 2
A,1,D Euforiche,Gli ultimi,24,8,15,1,9,7,0,0
B,1,Green House,Gli scrittori del quartierino,21,7,7,7,14,0,0,0
B,2,I Bananari,the 3 BrOthers,15,13,1,13,14,0,0,0
C,1,Living Stones,Le TreMende,14,14,8,6,6,8,0,0
C,2,Retroguardia Trash,Armata Brancaleone,10,17,1,12,9,5,-1,0
