partita,match,squadra,titolare,riserva,ingresso riserva,titolo,lunghezza,penalità,tag,link,link commento,commento valido,sostituzione,punti penalità,giocatore,str penalità
S1,1,D Euforiche,Kuno,queffe,,Ho sempre amato l'Irlanda,7999,0,x,x,x,x,,,Kuno ,
S1,1,I Bananari,simone volponi,Niko,,Due pianeti color nocciola,6863,0,x,x,x,x,,,simone volponi ,
S1,2,D Euforiche,Marcello,queffe,,Ottobre alentejano,7919,0,x,x,x,x,,,Marcello ,
S1,2,I Bananari,massimopud,Niko,,Croce del Sud,7744,0,x,x,x,x,,,massimopud ,
S2,1,Gli ultimi,Ghigo,caipiroska,,Io so far piovere,7756,0,x,x,x,x,,,Ghigo ,
S2,1,Green House,Bango Skank,Plata,,Il sapore delle lacrime,7641,0,x,x,x,x,,,Bango Skank ,
S2,2,Gli ultimi,crazycat,caipiroska,,Terra arida,7256,0,x,x,x,x,,,crazycat ,
S2,2,Green House,Joyopi,Plata,,Se Dio finisse l'acqua,7813,0,x,x,x,x,,,Joyopi ,
