girone,partita,squadra,capitano,riserva,match 1,match 2
A,1,D Euforiche,Kuno,Kuno,queffe,Marcello
A,1,La threesome,Luna,mina99,Komorebi,Luna
B,1,Green House,Plata,Joyopi,Bango Skank,Plata
B,1,I Bananari,simone volponi,simone volponi,massimopud,Niko
B,2,Gli scrittori del quartierino,Federico72,camparino,Marty12,Federico72
B,2,the 3 BrOthers,ettore70,ettore70,ITG,AryaSophia
C,1,Living Stones,Vincenzo Iennaco,Macleo,Vincenzo Iennaco,Ljuset
C,1,Retroguardia Trash,Eudes,AlexComan,Andrea28,Eudes
C,2,Le TreMende,Thea,Thea,Emy,sefora
C,2,Armata Brancaleone,Ella F.,AdStr,Ella F.,Skorpiòs
