giocatore,squadra,girone,avversario,goal fatti,goal subiti,elo precedente,elo avversario,punteggio atteso,punteggio reale,scostamento,scostamento squadra,elo nuovo
AdStr,Armata Brancaleone,C,Eudes,5,9,1504,1507,0.49568276024494023,0.35714285714285715,-0.13853990310208308,0.14114052084742135,1499
AlexComan,Retroguardia Trash,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.14114052084742135,1496
Andrea28,Retroguardia Trash,C,Ella F.,1,12,1526,1537,0.4841750147352649,0.07692307692307693,-0.407251937812188,-0.14114052084742135,1496
AryaSophia,the 3 BrOthers,B,Niko,0,14,1465,1502,0.4469531048305375,0.0,-0.4469531048305375,-0.020847806878043273,1450
Bango Skank,Green House,B,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.2648664788362424,1507
Ella F.,Armata Brancaleone,C,Andrea28,12,1,1537,1526,0.515824985264735,0.9230769230769231,0.40725193781218816,0.14114052084742135,1567
Emy,Le TreMende,C,Macleo,8,6,1463,1474,0.4841750147352649,0.5714285714285714,0.08725355669330648,-0.011510891217791697,1468
Eudes,Retroguardia Trash,C,AdStr,9,5,1507,1504,0.5043172397550598,0.6428571428571429,0.13853990310208308,-0.14114052084742135,1512
Federico72,Gli scrittori del quartierino,B,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.26486647883624237,1493
Ghigo,Gli ultimi,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.23321662472094912,1494
ITG,the 3 BrOthers,B,simone volponi,13,1,1522,1512,0.5143871841659987,0.9285714285714286,0.4141842444054299,-0.020847806878043273,1548
Joyopi,Green House,B,Marty12,14,0,1488,1478,0.5143871841659987,1.0,0.4856128158340013,0.2648664788362424,1526
Komorebi,La threesome,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.0,1500
Kuno,D Euforiche,A,caipiroska,15,1,1525,1500,0.5359159269451023,0.9375,0.40158407305489774,0.23321662472094906,1557
Ljuset,Living Stones,C,Thea,8,6,1493,1496,0.49568276024494023,0.5714285714285714,0.07574581118363116,0.011510891217791697,1498
Luna,La threesome,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.0,1500
Macleo,Living Stones,C,Emy,6,8,1474,1463,0.515824985264735,0.42857142857142855,-0.08725355669330642,0.011510891217791697,1469
Marcello,D Euforiche,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.23321662472094906,1506
Marty12,Gli scrittori del quartierino,B,Joyopi,0,14,1478,1488,0.48561281583400134,0.0,-0.48561281583400134,-0.26486647883624237,1450
Niko,I Bananari,B,AryaSophia,14,0,1502,1465,0.5530468951694625,1.0,0.4469531048305375,0.02084780687804333,1531
Plata,Green House,B,camparino,7,7,1498,1502,0.49424379158885506,0.5,0.005756208411144936,0.2648664788362424,1506
Skorpiòs,Armata Brancaleone,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.14114052084742135,1504
Thea,Le TreMende,C,Ljuset,6,8,1496,1493,0.5043172397550598,0.42857142857142855,-0.07574581118363127,-0.011510891217791697,1491
Vincenzo Iennaco,Living Stones,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.011510891217791697,1500
caipiroska,Gli ultimi,A,Kuno,1,15,1500,1525,0.4640840730548977,0.0625,-0.4015840730548977,-0.23321662472094912,1468
camparino,Gli scrittori del quartierino,B,Plata,7,7,1502,1498,0.5057562084111449,0.5,-0.005756208411144881,-0.26486647883624237,1494
crazycat,Gli ultimi,A,queffe,7,9,1500,1505,0.49280491829094863,0.4375,-0.055304918290948635,-0.23321662472094912,1490
ettore70,the 3 BrOthers,B,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.020847806878043273,1499
massimopud,I Bananari,B,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.02084780687804333,1501
mina99,La threesome,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.0,1500
queffe,D Euforiche,A,crazycat,9,7,1505,1500,0.5071950817090514,0.5625,0.055304918290948635,0.23321662472094906,1515
sefora,Le TreMende,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.011510891217791697,1500
simone volponi,I Bananari,B,ITG,1,13,1512,1522,0.48561281583400134,0.07142857142857142,-0.4141842444054299,0.02084780687804333,1486
