partita,squadra,capitano,riserva,match 1,match 2,match 1 goal,match 1 riserva,match 2 goal,match 2 riserva,goal,penalità
S1,D Euforiche,Kuno,queffe,Kuno,Marcello,11,False,11,False,22,0
S1,I Bananari,Niko,Niko,simone volponi,massimopud,3,False,3,False,6,0
S2,Green House,Bango Skank,Plata,Bango Skank,Joyopi,10,False,9,False,19,0
S2,Gli ultimi,crazycat,caipiroska,Ghigo,crazycat,4,False,5,False,9,0
