girone,partita,match,squadra,titolare,riserva,ingresso riserva,titolo,lunghezza,penalità,tag,link,link commento,commento valido,sostituzione,punti penalità
A,1,1,D Euforiche,Kuno,Marcello,,"Il fuoco è arancione, rosso e giallo",7923,0,X,X,X,X,,
A,1,1,Gli ultimi,caipiroska,Ghigo,,I falò si Silver Lake,5158,0,X,X,X,X,,
A,1,2,D Euforiche,queffe,Marcello,,Il grande falò,7245,0,X,X,X,X,,
A,1,2,Gli ultimi,crazycat,Ghigo,,Riscaldando il cielo,7520,0,X,X,X,X,,
B,1,1,Gli scrittori del quartierino,camparino,Federico72,,Ultimo tango sulla spiaggia,2449,0,X,X,X,X,,
B,1,1,Green House,Plata,Bango Skank,,Johnny the dead man,6370,0,X,X,X,X,,
B,1,2,Gli scrittori del quartierino,Marty12,Federico72,,Gli amanti del falò,7989,0,X,X,X,X,,
B,1,2,Green House,Joyopi,Bango Skank,,Una storia che fa incazzare,5916,0,X,X,X,X,,
B,2,1,I Bananari,simone volponi,massimopud,,Black Rock City,7962,0,X,X,X,X,,
B,2,1,the 3 BrOthers,ITG,ettore70,,Le forme dei barrè,7347,0,X,X,X,X,,
B,2,2,I Bananari,Niko,massimopud,,"Odore d'erba e di fiori, di tenerezza e amore",7983,0,X,X,X,X,,
B,2,2,the 3 BrOthers,AryaSophia,ettore70,,Fantasma del passato,6080,0,X,X,X,X,,
C,1,1,Le TreMende,Thea,sefora,,Il fuoco perenne,7658,0,X,X,X,X,,
C,1,1,Living Stones,Ljuset,Vincenzo Iennaco,,Fuochi sulla neve,8000,0,X,X,X,X,,
C,1,2,Le TreMende,Emy,sefora,,Una donna senza volto,7920,0,X,X,X,X,,
C,1,2,Living Stones,Macleo,Vincenzo Iennaco,,Li Flama de San Lorenz,5483,0,X,X,X,X,,
C,2,1,Armata Brancaleone,Ella F.,Skorpiòs,,Catarsi,5356,0,X,X,X,X,,
C,2,1,Retroguardia Trash,Andrea28,AlexComan,,"Il Diavolo, Mario Balotelli e Raffaella Fico",7974,-1,,X,X,X,,1 punto di penalità
C,2,2,Armata Brancaleone,AdStr,Skorpiòs,,Lo squarcio,5027,0,X,X,X,X,,
C,2,2,Retroguardia Trash,Eudes,AlexComan,,L'immensa discarica,7999,0,X,X,X,X,,
