partita,squadra,capitano,riserva,match 1,match 2,match 1 goal,match 1 riserva,match 2 goal,match 2 riserva,goal,penalità
F1,D Euforiche,Kuno,queffe,Kuno,Marcello,4,True,9,False,12,0
F1,Green House,Bango Skank,Joyopi,Bango Skank,Plata,8,False,4,False,12,0
F2,I Bananari,Niko,Niko,simone volponi,massimopud,3,False,6,False,9,0
F2,Gli ultimi,crazycat,crazycat,Ghigo,caipiroska,9,False,5,False,14,-1
