girone,partita,squadra,capitano,riserva,match 1,match 2,match 1 goal,match 1 riserva,match 2 goal,match 2 riserva,goal,penalità
A,1,La threesome,mina99,Komorebi,Luna,mina99,0,False,5,False,5,-1
A,1,Gli ultimi,crazycat,Steto,crazycat,caipiroska,15,False,11,False,26,0
B,1,Green House,Bango Skank,Joyopi,Bango Skank,Plata,11,False,14,False,25,0
B,1,the 3 BrOthers,AryaSophia,AryaSophia,Patrick D'anello,ettore70,3,False,0,False,3,0
B,2,I Bananari,simone volponi,Niko,massimopud,simone volponi,6,False,8,False,14,0
B,2,Gli scrittori del quartierino,Marty12,Marty12,camparino,Federico72,8,False,6,False,14,0
C,1,Living Stones,Macleo,Vincenzo Iennaco,Ljuset,Macleo,12,False,10,False,22,0
C,1,Armata Brancaleone,Ella F.,Skorpiòs,Ella F.,AdStr,2,True,4,False,6,0
C,2,Retroguardia Trash,Andrea28,Andrea28,Eudes,AlexComan,9,False,2,False,11,0
C,2,Le TreMende,Emy,Emy,sefora,Thea,5,False,12,False,17,0
