partita,squadra 1,squadra 2,goal squadra 1,goal squadra 2,match 1 squadra 1,match 1 squadra 2,match 2 squadra 1,match 2 squadra 2,penalità squadra 1,penalità squadra 2
F1,D Euforiche,Green House,12,12,4,8,8,4,0,0
F2,I Bananari,Gli ultimi,9,14,3,9,6,5,0,-1
