squadra,riposa,capitano,riserva,titolare 1,titolare 2
Green House,,Bango Skank,Joyopi,Bango Skank,Plata
La threesome,,mina99,Komorebi,mina99,Luna
I Bananari,,simone volponi,Niko,simone volponi,massimopud
Armata Brancaleone,,Ella F.,Skorpiòs,Ella F.,AdStr
Living Stones,,Macleo,Vincenzo Iennaco,Macleo,Ljuset
Retroguardia Trash,,Andrea28,Andrea28,Eudes,AlexComan
Le TreMende,,Emy,Emy,sefora,Thea
Gli scrittori del quartierino,,Marty12,Marty12,camparino,Federico72
the 3 BrOthers,,AryaSophia,AryaSophia,ettore70,Patrick D'anello
D Euforiche,(riposa),Kuno,,,
Gli ultimi,,crazycat,Steto,crazycat,caipiroska
