girone,partita,squadra,capitano,riserva,match 1,match 2
A,1,La threesome,mina99,Komorebi,Luna,mina99
A,1,Gli ultimi,crazycat,Steto,crazycat,caipiroska
B,1,Green House,Bango Skank,Joyopi,Bango Skank,Plata
B,1,the 3 BrOthers,AryaSophia,AryaSophia,Patrick D'anello,ettore70
B,2,I Bananari,simone volponi,Niko,massimopud,simone volponi
B,2,Gli scrittori del quartierino,Marty12,Marty12,camparino,Federico72
C,1,Living Stones,Macleo,Vincenzo Iennaco,Ljuset,Macleo
C,1,Armata Brancaleone,Ella F.,Skorpiòs,Ella F.,AdStr
C,2,Retroguardia Trash,Andrea28,Andrea28,Eudes,AlexComan
C,2,Le TreMende,Emy,Emy,sefora,Thea
