giocatore,squadra,elo
Ella F.,Armata Brancaleone,1537
Federico72,Gli scrittori del quartierino,1535
Andrea28,Retroguardia Trash,1526
Kuno,D Euforiche,1525
AlexComan,Retroguardia Trash,1522
ITG,the 3 BrOthers,1522
simone volponi,I Bananari,1512
sefora,Le TreMende,1510
Eudes,Retroguardia Trash,1507
queffe,D Euforiche,1505
Marcello,D Euforiche,1505
AdStr,Armata Brancaleone,1504
massimopud,I Bananari,1502
Niko,I Bananari,1502
camparino,Gli scrittori del quartierino,1502
caipiroska,Gli ultimi,1500
Ghigo,Gli ultimi,1500
crazycat,Gli ultimi,1500
Bango Skank,Green House,1498
ettore70,the 3 BrOthers,1498
Plata,Green House,1498
Thea,Le TreMende,1496
mina99,La threesome,1495
Komorebi,La threesome,1495
Ljuset,Living Stones,1493
Skorpiòs,Armata Brancaleone,1490
Joyopi,Green House,1488
Vincenzo Iennaco,Living Stones,1478
Marty12,Gli scrittori del quartierino,1478
Luna,La threesome,1475
Macleo,Living Stones,1474
AryaSophia,the 3 BrOthers,1465
Emy,Le TreMende,1463
