autore,sigla,titolo,caratteri,verifiche nel racconto,r1,r2,r3,r4,verifiche nel topic principale,t1,t2,penalità,ha votato,voti,v1
Macleo,m,Esca viva,7998,X,x,x,x,x,x,10,5,0,m,8,ctglfbxe
M.T.,t,Il rosso e il nero,7933,X,x,x,x,x,x,2,6,0,t,1,a
Komorebi,k,Il Leviatano,7957,X,x,x,x,x,x,1,3,0,k,4,rbxj
mina99,i,Ed è così che sono morto,290,X,x,x,x,x,x,6,9,0,i,0,
Cristina,x,Scarpe allo zenzero,7955,X,x,x,x,x,x,7,4,0,x,1,i
simone volponi,s,Turbonegro,7996,X,x,x,x,x,x,10,7,0,s,8,vcglkpej
Vincenzo Iennaco,v,Sinfonia di una notte di fine estate,7595,X,x,x,x,x,x,5,5,0,v,3,rfj
Luna,l,Grazie a te,7912,X,x,x,x,x,x,1,10,0,l,3,rap
AryaSophia,a,Dolce vendetta,6070,X,x,x,x,x,x,9,10,0,a,0,
Rica,r,Lontani ricordi,7741,X,x,x,x,x,x,4,7,0,r,5,vctsm
camparino,c,Questione di coscienza,2865,X,x,x,x,x,x,10,1,0,c,2,gm
Federico72,f,2018 - L'ultimo viaggio dell'ISS,7904,X,x,x,x,x,x,6,10,0,f,3,lpi
Bango Skank,b,W la gnagna. Chi non tromba va in montagna,7983,X,x,x,x,x,x,7,2,0,b,0,
Pulsar,p,La figlia prediletta,7955,X,x,x,x,x,x,4,7,0,p,3,bsf
Ginevra,g,Flick,7895,X,x,x,x,x,x,10,7,0,g,5,tkxme
Joyopi,j,Rosso e nero,7908,X,x,x,x,x,x,2,1,0,j,4,vasi
Emy,e,Il segreto meglio custodito di via Parco dei Sogni,7810,X,x,x,x,x,x,1,7,0,e,1,k
