girone:giornata:partita:squadra 1:squadra 2
A:1:1:D Euforiche:La threesome
A:1:2:Gli ultimi:(riposo)
A:2:1:D Euforiche:Gli ultimi
A:2:2:La threesome:(riposo)
A:3:2:D Euforiche:(riposo)
A:3:1:La threesome:Gli ultimi
B:1:1:Green House:I Bananari
B:1:2:Gli scrittori del quartierino:the 3 BrOthers
B:2:1:Green House:Gli scrittori del quartierino
B:2:2:I Bananari:the 3 BrOthers
B:3:1:Green House:the 3 BrOthers
B:3:2:I Bananari:Gli scrittori del quartierino
C:1:1:Living Stones:Retroguardia Trash
C:1:2:Le TreMende:Armata Brancaleone
C:2:1:Living Stones:Le TreMende
C:2:2:Retroguardia Trash:Armata Brancaleone
C:3:1:Living Stones:Armata Brancaleone
C:3:2:Retroguardia Trash:Le TreMende
