girone,partita,squadra 1,squadra 2,goal squadra 1,goal squadra 2,match 1 squadra 1,match 1 squadra 2,match 2 squadra 1,match 2 squadra 2,penalità squadra 1,penalità squadra 2
A,1,La threesome,Gli ultimi,5,26,0,15,5,11,-1,0
B,1,Green House,the 3 BrOthers,25,3,11,3,14,0,0,0
B,2,I Bananari,Gli scrittori del quartierino,14,14,6,8,8,6,0,0
C,1,Living Stones,Armata Brancaleone,22,6,12,2,10,4,0,0
C,2,Retroguardia Trash,Le TreMende,11,17,9,5,2,12,0,0
