autore,sigla,titolo,caratteri,verifiche nel racconto,r1,r2,r3,r4,verifiche nel topic principale,t1,t2,penalità,ha votato,voti,v1
Macleo,m,Déjà vu,7999,X,x,x,x,x,x,16,2,0,m,2,et
M.T.,t,Desiderio,7864,X,x,x,x,x,x,29,21,0,t,1,g
Federico72,f,Missione a villa Wegen,7924,X,x,x,x,x,x,14,27,0,f,3,imj
Vincenzo Iennaco,i,Elena e Parido,7934,X,x,x,x,x,x,26,12,0,i,10,xeftzrojgl
simone volponi,v,...,3481,X,x,x,x,x,x,13,27,0,v,8,xezromjn
mina99,n,Quando i raggi del sole...,6200,X,x,x,x,x,x,28,12,0,n,2,fr
Luna,l,La camera del sogno,6892,X,x,x,x,x,x,15,28,0,l,0,
Ortho,o,W.,7855,X,x,x,x,x,x,10,19,0,o,1,n
Joyopi,j,Inadeguato,7981,X,x,x,x,x,x,10,26,0,j,6,ixavml
Elisabeta Gavrilina,e,Franco's beach,7990,X,x,x,x,x,x,10,7,0,e,1,z
Rica,r,Misa Chica,7491,X,x,x,x,x,x,1,6,0,r,3,fao
Lizz (Thea),z,La bananità del male,7852,X,x,x,x,x,x,1,9,0,z,0,
Ginevra,g,La partita,7778,X,x,x,x,x,x,10,7,0,g,4,ital
AlexComan,x,Ombra,7984,X,x,x,x,x,x,10,23,0,x,2,vn
Andrea28,a,Il tesoro di Boccaccio,7994,X,x,x,x,,x,10,18,-1,a,1,vg
