giocatore,squadra,elo
Ghigo,Gli ultimi,1593
Bango Skank,Green House,1560
Marcello,D Euforiche,1551
crazycat,Gli ultimi,1544
Kuno,D Euforiche,1544
ITG,the 3 BrOthers,1542
Niko,I Bananari,1531
Joyopi,Green House,1530
Steto,Gli ultimi,1520
Eudes,Retroguardia Trash,1518
Plata,Green House,1517
queffe,D Euforiche,1515
Ella F.,Armata Brancaleone,1514
camparino,Gli scrittori del quartierino,1514
Ljuset,Living Stones,1511
Thea,Le TreMende,1509
Vincenzo Iennaco,Living Stones,1506
massimopud,I Bananari,1497
Komorebi,La threesome,1494
Andrea28,Retroguardia Trash,1494
Macleo,Living Stones,1489
caipiroska,Gli ultimi,1489
simone volponi,I Bananari,1488
Federico72,Gli scrittori del quartierino,1486
sefora,Le TreMende,1484
AdStr,Armata Brancaleone,1483
mina99,La threesome,1479
Patrick D'anello,the 3 BrOthers,1476
Skorpiòs,Armata Brancaleone,1470
AlexComan,Retroguardia Trash,1470
ettore70,the 3 BrOthers,1461
Luna,La threesome,1460
Marty12,Gli scrittori del quartierino,1450
Emy,Le TreMende,1450
AryaSophia,the 3 BrOthers,1450
