partita,match,squadra,titolare,riserva,ingresso riserva,titolo,lunghezza,penalità,tag,link,link commento,commento valido,sostituzione,punti penalità,giocatore,str penalità
F1,1,D Euforiche,Kuno,queffe,2018-01-14 22.00,Punto di fuga,7902,0,x,x,x,x,(queffe da 2018-01-14 22.00),,Kuno (queffe da 2018-01-14 22.00),
F1,1,Green House,Bango Skank,Joyopi,,"Perché piangi, mamma?",7798,0,x,x,x,x,,,Bango Skank ,
F1,2,D Euforiche,Marcello,queffe,,E profesor,7900,0,x,x,x,x,,,Marcello ,
F1,2,Green House,Plata,Joyopi,,Il fiore più bello,5507,0,x,x,x,x,,,Plata ,
F2,1,Gli ultimi,Ghigo,crazycat,,Pomeriggio al parco in prospettiva,7915,0,x,x,x,x,,,Ghigo ,
F2,1,I Bananari,simone volponi,Niko,,Jones sogna topi alieni,7998,0,x,x,x,x,,,simone volponi ,
F2,2,Gli ultimi,caipiroska,crazycat,,In Bilico,7900,-1,x,x,x,,,1 punto di penalità,caipiroska ,-1 goal
F2,2,I Bananari,massimopud,Niko,,Vita da demiurghi,6776,0,x,x,x,x,,,massimopud ,
