giocatore,squadra,girone,avversario,goal fatti,goal subiti,elo precedente,elo avversario,punteggio atteso,punteggio reale,scostamento,scostamento squadra,elo nuovo
AdStr,Armata Brancaleone,C,Macleo,4,10,1499,1469,0.5430664920222119,0.2857142857142857,-0.2573522063079262,-0.3349637174402823,1477
AlexComan,Retroguardia Trash,C,Thea,2,12,1496,1491,0.5071950817090514,0.14285714285714285,-0.3643379388519085,-0.12871619019400266,1470
Andrea28,Retroguardia Trash,C,(non giocato),0,0,1496,1500,0.5,0.5,0.0,-0.12871619019400266,1494
AryaSophia,the 3 BrOthers,B,(non giocato),0,0,1450,1500,0.5,0.5,0.0,-0.3727204208213264,1450
Bango Skank,Green House,B,Patrick D'anello,11,3,1507,1500,0.5100724469274385,0.7857142857142857,0.2756418387868472,0.3727204208213264,1531
Ella F.,Armata Brancaleone,C,(non giocato),0,0,1567,1500,0.5,0.5,0.0,-0.3349637174402823,1562
Emy,Le TreMende,C,(non giocato),0,0,1468,1500,0.5,0.5,0.0,0.12871619019400254,1470
Eudes,Retroguardia Trash,C,sefora,9,5,1512,1500,0.5172625244323762,0.6428571428571429,0.1255946184247667,-0.12871619019400266,1518
Federico72,Gli scrittori del quartierino,B,simone volponi,6,8,1493,1486,0.5100724469274385,0.42857142857142855,-0.08150101835600992,0.03877809205717153,1488
Ghigo,Gli ultimi,A,(non giocato),0,0,1494,1500,0.5,0.5,0.0,0.3617192647169172,1500
ITG,the 3 BrOthers,B,(non giocato),0,0,1548,1500,0.5,0.5,0.0,-0.3727204208213264,1542
Joyopi,Green House,B,(non giocato),0,0,1526,1500,0.5,0.5,0.0,0.3727204208213264,1532
Komorebi,La threesome,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,-0.3617192647169172,1494
Kuno,D Euforiche,A,(non giocato),0,0,1557,1500,0.5,0.5,0.0,0.0,1557
Ljuset,Living Stones,C,Skorpiòs,12,2,1498,1504,0.4913661641789174,0.8571428571428571,0.3657766929639397,0.3349637174402823,1527
Luna,La threesome,A,crazycat,0,15,1500,1490,0.5143871841659987,0.0,-0.5143871841659987,-0.3617192647169172,1460
Macleo,Living Stones,C,AdStr,10,4,1469,1499,0.4569335079777882,0.7142857142857143,0.2573522063079261,0.3349637174402823,1491
Marcello,D Euforiche,A,(non giocato),0,0,1506,1500,0.5,0.5,0.0,0.0,1506
Marty12,Gli scrittori del quartierino,B,(non giocato),0,0,1450,1500,0.5,0.5,0.0,0.03877809205717153,1451
Niko,I Bananari,B,(non giocato),0,0,1531,1500,0.5,0.5,0.0,-0.03877809205717153,1530
Patrick D'anello,the 3 BrOthers,B,Bango Skank,3,11,1500,1507,0.48992755307256153,0.21428571428571427,-0.2756418387868472,-0.3727204208213264,1476
Plata,Green House,B,ettore70,14,0,1506,1499,0.5100724469274385,1.0,0.48992755307256153,0.3727204208213264,1544
Skorpiòs,Armata Brancaleone,C,Ljuset,2,12,1504,1498,0.5086338358210827,0.14285714285714285,-0.36577669296393983,-0.3349637174402823,1475
Steto,Gli ultimi,A,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.3617192647169172,1506
Thea,Le TreMende,C,AlexComan,12,2,1491,1496,0.49280491829094863,0.8571428571428571,0.36433793885190846,0.12871619019400254,1517
Vincenzo Iennaco,Living Stones,C,(non giocato),0,0,1500,1500,0.5,0.5,0.0,0.3349637174402823,1505
caipiroska,Gli ultimi,A,mina99,11,5,1468,1500,0.4540780772195163,0.6875,0.23342192278048368,0.3617192647169172,1489
camparino,Gli scrittori del quartierino,B,massimopud,8,6,1494,1501,0.48992755307256153,0.5714285714285714,0.08150101835600987,0.03877809205717153,1500
crazycat,Gli ultimi,A,Luna,15,0,1490,1500,0.48561281583400134,1.0,0.5143871841659986,0.3617192647169172,1530
ettore70,the 3 BrOthers,B,Plata,0,14,1499,1506,0.48992755307256153,0.0,-0.48992755307256153,-0.3727204208213264,1461
massimopud,I Bananari,B,camparino,6,8,1501,1494,0.5100724469274385,0.42857142857142855,-0.08150101835600992,-0.03877809205717153,1495
mina99,La threesome,A,caipiroska,5,11,1500,1468,0.5459219227804837,0.3125,-0.23342192278048368,-0.3617192647169172,1479
queffe,D Euforiche,A,(non giocato),0,0,1515,1500,0.5,0.5,0.0,0.0,1515
sefora,Le TreMende,C,Eudes,5,9,1500,1512,0.4827374755676238,0.35714285714285715,-0.12559461842476666,0.12871619019400254,1494
simone volponi,I Bananari,B,Federico72,8,6,1486,1493,0.48992755307256153,0.5714285714285714,0.08150101835600987,-0.03877809205717153,1491
