utente,totale,num_gare,media,rank 0
Andrea28,10.0,5,2.0,1541
Bango Skank,21.5,12,1.7916666666666667,1534
Befana Profana,3.33,1,3.33,1572
Cicciuzza,1.0,1,1.0,1505
Crazycat,1.0,2,0.5,1480
Cristina,7.33,5,1.466,1524
Edison,6.66,2,3.33,1572
Emy,4.0,19,0.21052631578947367,1462
Eudes,2.0,1,2.0,1541
Ghigo,5.0,4,1.25,1516
Ginevra,5.5,7,0.7857142857142857,1496
ITG,1.0,1,1.0,1505
Intro,0.5,2,0.25,1465
JMC,3.0,1,3.0,1566
Joyopi,7.0,15,0.4666666666666667,1478
Komorebi,4.0,8,0.5,1480
Kuno,5.5,3,1.8333333333333333,1536
Lizz,8.0,11,0.7272727272727273,1493
Lo scrittore incolore,2.5,9,0.2777777777777778,1466
M.T.,0.66,16,0.04125,1450
Macleo,30.33,19,1.5963157894736841,1528
Marcello,10.0,5,2.0,1541
Marty12,0.33,4,0.0825,1452
Mundi Viator,1.5,1,1.5,1525
Nanni,3.0,3,1.0,1505
Nerio,5.0,2,2.5,1554
Plata,6.0,11,0.5454545454545454,1483
Poldo,2.0,5,0.4,1474
Rewind,2.5,1,2.5,1554
Rica,19.0,15,1.2666666666666666,1516
Riddle Seeker,0.5,5,0.1,1453
Thea,0.5,5,0.1,1453
Unius,14.66,11,1.3327272727272728,1519
Vincenzo Iennaco,9.33,18,0.5183333333333333,1481
camparino,1.0,10,0.1,1453
libero_s,0.5,1,0.5,1480
massimopud,5.0,2,2.5,1554
mina99,5.83,7,0.8328571428571429,1498
queffe,5.0,1,5.0,1601
simone volponi,12.0,19,0.631578947368421,1488
swetty,3.5,3,1.1666666666666667,1512
wyjkz31,4.0,1,4.0,1585
