num_mi:utente:punteggio
11:Macleo:18.33
6:Bango Skank:16.5
9:Rica:15
11:Unius:14.66
3:Andrea28:10 
4:Marcello:7
2:Edison:6.66
1:Nerio:5
1:Kuno:5
1:queffe:5
4:Ghigo:5
4:Joyopi:5
9:simone volponi:5
12:Vincenzo Iennaco:4.33
7:Komorebi:4
9:Emy:4
1:Cristina:3.33
1:Befana Profana:3.33
4:mina99:3.33
3:Nanni:3
3:Ginevra:3
2:Lizz:3
1:Rewind:2.5
4:Poldo:2
1:Mundi Viator:1.5
1:swetty:1.5
1:ITG:1
2:Crazycat:1
9:Plata:1
7:camparino:1
6:M.T.:0.66 
1:Intro:0.5
1:libero_s:0.5
4:Thea:0.5
5:Riddle Seeker:0.5
4:Marty12:0.33 

