giocatore,squadra,elo
Plata,Green House,1560
Ghigo,Gli ultimi,1548
Kuno,D Euforiche,1543
queffe,D Euforiche,1542
ITG,the 3 BrOthers,1542
Niko,I Bananari,1540
crazycat,Gli ultimi,1535
simone volponi,I Bananari,1533
Bango Skank,Green House,1533
Joyopi,Green House,1531
Eudes,Retroguardia Trash,1518
Ella F.,Armata Brancaleone,1514
camparino,Gli scrittori del quartierino,1514
Steto,Gli ultimi,1511
Ljuset,Living Stones,1511
Thea,Le TreMende,1509
Marcello,D Euforiche,1508
Vincenzo Iennaco,Living Stones,1506
massimopud,I Bananari,1503
Andrea28,Retroguardia Trash,1494
Komorebi,La threesome,1494
Macleo,Living Stones,1489
Federico72,Gli scrittori del quartierino,1486
sefora,Le TreMende,1484
caipiroska,Gli ultimi,1483
AdStr,Armata Brancaleone,1483
mina99,La threesome,1479
Patrick D'anello,the 3 BrOthers,1476
Skorpiòs,Armata Brancaleone,1470
AlexComan,Retroguardia Trash,1470
ettore70,the 3 BrOthers,1461
Luna,La threesome,1460
Marty12,Gli scrittori del quartierino,1450
Emy,Le TreMende,1450
AryaSophia,the 3 BrOthers,1450
