giocatore,squadra,elo
Ella F.,Armata Brancaleone,1567
Kuno,D Euforiche,1557
ITG,the 3 BrOthers,1548
Niko,I Bananari,1531
Joyopi,Green House,1526
queffe,D Euforiche,1515
Eudes,Retroguardia Trash,1512
Bango Skank,Green House,1507
Plata,Green House,1506
Marcello,D Euforiche,1506
Skorpiòs,Armata Brancaleone,1504
massimopud,I Bananari,1501
Luna,La threesome,1500
Vincenzo Iennaco,Living Stones,1500
Komorebi,La threesome,1500
sefora,Le TreMende,1500
mina99,La threesome,1500
AdStr,Armata Brancaleone,1499
ettore70,the 3 BrOthers,1499
Ljuset,Living Stones,1498
AlexComan,Retroguardia Trash,1496
Andrea28,Retroguardia Trash,1496
Ghigo,Gli ultimi,1494
camparino,Gli scrittori del quartierino,1494
Federico72,Gli scrittori del quartierino,1493
Thea,Le TreMende,1491
crazycat,Gli ultimi,1490
simone volponi,I Bananari,1486
Macleo,Living Stones,1469
caipiroska,Gli ultimi,1468
Emy,Le TreMende,1468
Marty12,Gli scrittori del quartierino,1450
AryaSophia,the 3 BrOthers,1450
